Date,Cash,Stock Value,Option Value,Short Value,Account Value
11/21/2023,"-$5,972.85","$153,527.46",$0.00,$0.00,"$147,554.61"
11/14/2023,"$39,198.41","$100,599.00",$0.00,$0.00,"$139,797.41"
11/07/2023,"$15,961.41","$143,237.60",$0.00,$0.00,"$159,199.01"
10/31/2023,"$15,961.41","$141,873.10",$0.00,$0.00,"$157,834.51"
10/24/2023,"$15,961.41","$149,612.00",$0.00,$0.00,"$165,573.41"
10/17/2023,$891.41,"$165,228.00",$0.00,$0.00,"$166,119.41"
10/10/2023,$891.41,"$168,345.86",$0.00,$0.00,"$169,237.27"
10/03/2023,$891.41,"$182,613.50",$0.00,$0.00,"$183,504.91"
9/26/2023,$891.41,"$186,316.50",$0.00,$0.00,"$187,207.91"
9/20/2023,$891.41,"$195,143.15",$0.00,$0.00,"$196,034.55"
9/16/2023,$891.41,"$195,143.15",$0.00,$0.00,"$196,034.55"
9/12/2023,$891.41,"$195,143.15",$0.00,$0.00,"$196,034.55"
9/06/2023,"$13,348.05","$188,034.28",$0.00,$0.00,"$201,382.33"
9/02/2023,"$13,348.05","$188,034.28",$0.00,$0.00,"$201,382.33"
8/29/2023,"$13,348.05","$188,034.28",$0.00,$0.00,"$201,382.33"
8/23/2023,$13.05,"$197,991.85",$0.00,$0.00,"$198,004.90"
8/19/2023,"$25,123.05","$175,142.40",$0.00,$0.00,"$200,265.45"
8/15/2023,-$94.95,"$207,664.00",$0.00,$0.00,"$207,569.05"
8/09/2023,$677.05,"$204,534.82",$0.00,$0.00,"$205,211.87"
8/05/2023,$547.05,"$213,801.81",$0.00,$0.00,"$214,348.86"
8/01/2023,$547.05,"$213,801.81",$0.00,$0.00,"$214,348.86"
7/26/2023,"$1,983.05","$206,062.00",$0.00,$0.00,"$208,045.05"
7/22/2023,"$1,983.05","$206,062.00",$0.00,$0.00,"$208,045.05"
7/18/2023,"$1,983.05","$220,616.00",$0.00,$0.00,"$222,599.05"
7/12/2023,"$34,805.55","$193,943.20",$0.00,$0.00,"$228,748.75"
7/08/2023,$15.55,"$212,690.00",$0.00,$0.00,"$212,705.55"
7/04/2023,$15.55,"$212,690.00",$0.00,$0.00,"$212,705.55"
6/28/2023,$30.05,"$201,923.34",$0.00,$0.00,"$201,953.39"
6/24/2023,$995.05,"$205,215.00",$0.00,$0.00,"$206,210.05"
6/20/2023,"$32,191.05","$157,079.00",$0.00,$0.00,"$189,270.05"
6/14/2023,"-$2,540.95","$188,820.30",$0.00,$0.00,"$186,279.35"
6/10/2023,"-$2,540.95","$188,820.30",$0.00,$0.00,"$186,279.35"
6/06/2023,-$417.85,"$180,480.10",$0.00,$0.00,"$180,062.25"
5/31/2023,-$417.85,"$161,645.30",$0.00,$0.00,"$161,227.45"
5/23/2023,-$187.85,"$159,377.89",$0.00,$0.00,"$159,190.04"
5/16/2023,"$22,697.25","$131,423.20",$0.00,$0.00,"$154,120.45"
5/09/2023,$306.95,"$151,363.70",$0.00,$0.00,"$151,670.65"
5/02/2023,$306.95,"$153,411.80",$0.00,$0.00,"$153,718.75"
4/26/2023,"$3,804.95","$144,837.30",$0.00,$0.00,"$148,642.25"
4/21/2023,"$3,804.95","$149,775.90",$0.00,$0.00,"$153,580.85"
